match_id,date,home_team,away_team,home_score,away_score,home_xG,away_xG,forecast_win,forecast_draw,forecast_loss
27748,2024-08-24 16:30:00,Borussia Dortmund,Eintracht Frankfurt,2,0,1.9263,1.15188,0.5722,0.2791,0.1487
27753,2024-08-31 13:30:00,Werder Bremen,Borussia Dortmund,0,0,0.278533,0.918302,0.0956,0.3589,0.5455
27760,2024-09-13 18:30:00,Borussia Dortmund,FC Heidenheim,4,2,2.84066,1.61406,0.6822,0.1883,0.1295
27776,2024-09-22 15:30:00,VfB Stuttgart,Borussia Dortmund,5,1,3.56218,0.60692,0.9434,0.0446,0.012
27778,2024-09-27 18:30:00,Borussia Dortmund,Bochum,4,2,4.1712,1.02915,0.9419,0.0459,0.0122
27791,2024-10-05 13:30:00,Union Berlin,Borussia Dortmund,2,1,1.52691,0.748758,0.5877,0.277,0.1353
27798,2024-10-18 18:30:00,Borussia Dortmund,St. Pauli,2,1,3.97161,1.07012,0.9214,0.0567,0.0219
27809,2024-10-26 13:30:00,Augsburg,Borussia Dortmund,2,1,0.560509,0.776944,0.2292,0.3903,0.3805
27816,2024-11-02 17:30:00,Borussia Dortmund,RasenBallsport Leipzig,2,1,3.30102,0.23928,0.9618,0.0335,0.0047
27828,2024-11-09 14:30:00,Mainz 05,Borussia Dortmund,,,,,,,
27835,2024-11-23 14:30:00,Borussia Dortmund,Freiburg,,,,,,,
27842,2024-11-30 14:30:00,Borussia Dortmund,Bayern Munich,,,,,,,
27854,2024-12-07 14:30:00,Borussia M.Gladbach,Borussia Dortmund,,,,,,,
27860,2024-12-14 14:30:00,Borussia Dortmund,Hoffenheim,,,,,,,
27874,2024-12-21 14:30:00,Wolfsburg,Borussia Dortmund,,,,,,,
27878,2025-01-11 14:30:00,Borussia Dortmund,Bayer Leverkusen,,,,,,,
27894,2025-01-15 14:30:00,Holstein Kiel,Borussia Dortmund,,,,,,,
27898,2025-01-18 14:30:00,Eintracht Frankfurt,Borussia Dortmund,,,,,,,
27905,2025-01-25 14:30:00,Borussia Dortmund,Werder Bremen,,,,,,,
27920,2025-02-01 14:30:00,FC Heidenheim,Borussia Dortmund,,,,,,,
27924,2025-02-08 14:30:00,Borussia Dortmund,VfB Stuttgart,,,,,,,
27938,2025-02-15 14:30:00,Bochum,Borussia Dortmund,,,,,,,
27942,2025-02-22 14:30:00,Borussia Dortmund,Union Berlin,,,,,,,
27956,2025-03-01 14:30:00,St. Pauli,Borussia Dortmund,,,,,,,
27960,2025-03-08 14:30:00,Borussia Dortmund,Augsburg,,,,,,,
27968,2025-03-15 14:30:00,RasenBallsport Leipzig,Borussia Dortmund,,,,,,,
27979,2025-03-29 14:30:00,Borussia Dortmund,Mainz 05,,,,,,,
27988,2025-04-05 14:30:00,Freiburg,Borussia Dortmund,,,,,,,
27996,2025-04-12 14:30:00,Bayern Munich,Borussia Dortmund,,,,,,,
28004,2025-04-19 14:30:00,Borussia Dortmund,Borussia M.Gladbach,,,,,,,
28016,2025-04-26 14:30:00,Hoffenheim,Borussia Dortmund,,,,,,,
28022,2025-05-03 14:30:00,Borussia Dortmund,Wolfsburg,,,,,,,
28030,2025-05-10 14:30:00,Bayer Leverkusen,Borussia Dortmund,,,,,,,
28040,2025-05-17 14:30:00,Borussia Dortmund,Holstein Kiel,,,,,,,
