id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
586322,19,BlockedShot,0.8109999847412109,0.7390000152587891,0.016330625861883163,Nico Schlotterbeck,h,7485,OpenPlay,2024,LeftFoot,27748,Borussia Dortmund,Eintracht Frankfurt,2,0,2024-08-24 16:30:00,Karim Adeyemi,Rebound
586338,64,MissedShots,0.705999984741211,0.6459999847412109,0.009876078926026821,Nico Schlotterbeck,h,7485,OpenPlay,2024,LeftFoot,27748,Borussia Dortmund,Eintracht Frankfurt,2,0,2024-08-24 16:30:00,,None
589107,62,SavedShot,0.9519999694824218,0.4279999923706055,0.358583927154541,Nico Schlotterbeck,a,7485,SetPiece,2024,Head,27753,Werder Bremen,Borussia Dortmund,0,0,2024-08-31 13:30:00,Pascal Groß,Cross
600287,58,SavedShot,0.91,0.455,0.10495904833078384,Nico Schlotterbeck,h,7485,FromCorner,2024,LeftFoot,27816,Borussia Dortmund,RasenBallsport Leipzig,2,1,2024-11-02 17:30:00,Serhou Guirassy,HeadPass
586337,62,SavedShot,0.7969999694824219,0.605,0.03863631561398506,Niklas Süle,h,75,OpenPlay,2024,RightFoot,27748,Borussia Dortmund,Eintracht Frankfurt,2,0,2024-08-24 16:30:00,Maximilian Beier,Pass
586343,81,MissedShots,0.9769999694824218,0.4229999923706055,0.10204999148845673,Niklas Süle,h,75,FromCorner,2024,Head,27748,Borussia Dortmund,Eintracht Frankfurt,2,0,2024-08-24 16:30:00,Pascal Groß,Cross
593106,37,MissedShots,0.924000015258789,0.38,0.011711657978594303,Niklas Süle,a,75,SetPiece,2024,Head,27776,VfB Stuttgart,Borussia Dortmund,5,1,2024-09-22 15:30:00,Pascal Groß,Aerial
593108,48,MissedShots,0.9519999694824218,0.43400001525878906,0.06135499104857445,Niklas Süle,a,75,FromCorner,2024,Head,27776,VfB Stuttgart,Borussia Dortmund,5,1,2024-09-22 15:30:00,,Aerial
593676,88,MissedShots,0.815,0.46,0.08238677680492401,Niklas Süle,h,75,OpenPlay,2024,RightFoot,27778,Borussia Dortmund,Bochum,4,2,2024-09-27 18:30:00,Karim Adeyemi,Pass
586334,59,MissedShots,0.9169999694824219,0.6020000076293945,0.0389503575861454,Waldemar Anton,h,106,FromCorner,2024,Head,27748,Borussia Dortmund,Eintracht Frankfurt,2,0,2024-08-24 16:30:00,Pascal Groß,Cross
